n_time,execution_time,generator_time,sorter_time,remover_time,delta_time,n_files
1,3.6197526454925537,0.7982518672943115,2.191663980484009,0.6288421154022217,0.0009946823120117188,457
2,9.67342233657837,3.8822085857391357,4.0822741985321045,1.7079412937164307,0.0009982585906982422,1045
3,14.888607501983643,7.3965065479278564,4.520308971405029,2.971275806427002,0.0005161762237548828,1403
4,16.830899953842163,11.110946893692017,3.797193765640259,1.922243595123291,0.0005156993865966797,2266
5,16.49940776824951,10.652302026748657,3.18253755569458,2.663557767868042,0.0010104179382324219,2874
6,34.37298321723938,21.17753577232361,8.238072872161865,4.955267667770386,0.002106904983520508,4244
7,19.958507299423218,12.811002016067505,4.132735252380371,3.0138044357299805,0.0009655952453613281,3041
8,30.32878541946411,19.22918438911438,6.610566854476929,4.4880266189575195,0.0010075569152832031,5036
9,16.69418692588806,8.937401533126831,3.340846300125122,4.413978338241577,0.00196075439453125,3758
10,28.64728569984436,18.387973308563232,5.50510573387146,4.753217458724976,0.0009891986846923828,6214
11,50.79357171058655,25.964865684509277,16.625282049179077,8.203423976898193,0.0,5452
12,34.95262002944946,21.99317216873169,6.131288766860962,6.827119588851929,0.0010395050048828125,5637
